Algorithm: FIFO
4214 (0014): 00(0)
F41D (011D): 00(0)
75F6 (02F6): 1D(29)
D1B3 (03B3): 6C(108)
9CF9 (04F9): 00(0)
706D (056D): 00(0)
5F8E (068E): 17(23)
BD0F (070F): 43(67)
FD2F (082F): 4B(75)
4777 (0977): DD(-35)
2FBA (0ABA): 0B(11)
58E8 (0BE8): 00(0)
E27E (0C7E): 38(56)
6D3E (0D3E): 1B(27)
D66E (0E6E): 35(53)
9811 (0F11): 00(0)
8061 (1061): 00(0)
FAF3 (11F3): BC(-68)
090B (120B): 42(66)
FBC6 (13C6): 3E(62)
D701 (1401): 00(0)
48C9 (15C9): 00(0)
38DD (16DD): 00(0)
EE4E (174E): 3B(59)
F497 (0197): 25(37)
1DA7 (18A7): 69(105)
FCEB (19EB): 3A(58)
1A47 (1A47): 91(-111)
7E3B (1B3B): 8E(-114)
ECE5 (1CE5): 00(0)
18A4 (1DA4): 00(0)
B278 (1E78): 00(0)
03C9 (1FC9): 00(0)
9FBB (20BB): EE(-18)
C08E (218E): 30(48)
A09E (229E): 28(40)
5393 (2393): E4(-28)
17CB (24CB): F2(-14)
7F1D (251D): 00(0)
4501 (2601): 00(0)
0EC8 (27C8): 00(0)
702E (052E): 1C(28)
E768 (2868): 00(0)
9CF2 (04F2): 27(39)
EAB6 (29B6): 3A(58)
A50C (2A0C): 00(0)
AEE2 (2BE2): 2B(43)
57F2 (2CF2): 15(21)
0BFB (2DFB): FE(-2)
3D8D (2E8D): 00(0)
7BA1 (2FA1): 00(0)
2A5A (305A): 0A(10)
AAF5 (31F5): 00(0)
827D (327D): 00(0)
AF9A (339A): 2B(43)
DD51 (3451): 00(0)
138B (358B): E2(-30)
C433 (3633): 0C(12)
4B9E (379E): 12(18)
8EB1 (38B1): 00(0)
2898 (3998): 00(0)
E602 (3A02): 39(57)
1409 (3B09): 00(0)
E4BA (3CBA): 39(57)
E4D8 (3CD8): 00(0)
6B34 (3D34): 00(0)
E666 (3A66): 39(57)
C914 (3E14): 00(0)
1A8C (1A8C): 00(0)
533F (233F): CF(-49)
77F1 (3FF1): 00(0)
7124 (4024): 00(0)
A02B (222B): 0A(10)
4F23 (4123): C8(-56)
E201 (0C01): 00(0)
F71A (421A): 3D(61)
8E16 (3816): 23(35)
02B4 (43B4): 00(0)
A871 (4471): 00(0)
BC00 (4500): 00(0)
8701 (4601): 00(0)
C03D (213D): 00(0)
903A (473A): 24(36)
E71A (281A): 39(57)
C578 (4878): 00(0)
45CA (26CA): 11(17)
46E1 (49E1): 00(0)
0F2C (4A2C): 00(0)
D474 (4B74): 00(0)
A7B4 (4CB4): 00(0)
B747 (4D47): D1(-47)
E60C (3A0C): 00(0)
21AC (4EAC): 00(0)
95C0 (4FC0): 00(0)
FB65 (1365): 00(0)
5B5B (505B): D6(-42)
A688 (5188): 00(0)
3E29 (5229): 00(0)
3D3F (2E3F): 4F(79)
57E5 (2CE5): 00(0)
92A4 (53A4): 00(0)
1597 (5497): 65(101)
F9B1 (55B1): 00(0)
F4FC (01FC): 00(0)
806A (106A): 20(32)
FB86 (1386): 3E(62)
F67D (567D): 00(0)
F16A (576A): 3C(60)
4CC0 (58C0): 00(0)
7167 (4067): 59(89)
AFB5 (33B5): 00(0)
6DBC (0DBC): 00(0)
24E8 (59E8): 00(0)
AEC8 (2BC8): 00(0)
F038 (5A38): 00(0)
7ADD (5BDD): 00(0)
ED4A (5C4A): 3B(59)
2FA7 (0AA7): E9(-23)
F32F (5D2F): CB(-53)
5521 (5E21): 00(0)
67B0 (5FB0): 00(0)
3A74 (6074): 00(0)
A1F6 (61F6): 28(40)
DB19 (6219): 00(0)
CB46 (6346): 32(50)
BB6E (646E): 2E(46)
E85C (655C): 00(0)
C6EC (66EC): 00(0)
1B1E (671E): 06(6)
88B6 (68B6): 22(34)
